Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
35	A18-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	48853.0513253615	0.0196928043529304	0.00130719564706961	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:13.7363621Z
36	A18-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	674.999999999999	0.0154093871144092	0.000590612885590825	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:13.7363621Z
37	A19-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	49640.8228491843	0.0199261762628831	0.00107382373711686	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:16.7348702Z
38	A19-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	41849.1325000003	0.0158735872826844	0.000126412717315554	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:16.7348702Z
39	A20-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	48913.1219049157	0.0197374727924207	0.00126252720757931	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:19.7640724Z
40	A20-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	43608.1950000001	0.0181008928694727	0.00210089286947273	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:19.7640724Z
41	A21-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	49984.5494167029	0.020498460690938	0.000501539309062007	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:22.7363920Z
42	A21-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1056.375	0.0193241987731566	0.00332419877315656	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:22.7363920Z
43	A22-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	54206.3450572519	0.0198755402711309	0.0011244597288691	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:25.7365218Z
44	A22-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	44954.1679999994	0.0182751500849785	0.0022751500849785	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:25.7365218Z
45	A23-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50634.4128937139	0.0193507392225246	0.00164926077747537	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:28.7356466Z
46	A23-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1003.5	0.0150306804289007	0.000969319571099261	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:28.7356466Z
47	A24-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	52764.5071838568	0.019890622818707	0.001109377181293	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:31.7393247Z
48	A24-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	12810.15	0.0181794463507726	0.00217944635077259	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:31.7393247Z
49	B1-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	65113.779931134	0.0194229883119454	0.00157701168805461	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:43.7257538Z
50	B1-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1188.23750000003	0.0197523958192418	0.00375239581924179	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:43.7257538Z
51	B2-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	52236.9643108378	0.0199205050010722	0.00107949499892785	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:40.7226066Z
52	B2-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1285.87500000001	0.0196111090470295	0.00361110904702946	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:40.7226066Z
53	B3-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50683.8118798541	0.0204942889527979	0.000505711047202099	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:37.7286850Z
54	B3-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1921.5	0.0198082917115734	0.00380829171157339	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:37.7286850Z
55	B4-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50441.4709290779	0.019867263265423	0.00113273673457697	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:34.7246590Z
56	B4-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	30881.1305000001	0.0170180045611873	0.00101800456118732	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:34.7246590Z
57	B5-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	46640.7914292218	0.020951930609069	4.80693909309625E-05	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:31.7316461Z
58	B5-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	29892.7350000001	0.0185773793575655	0.00257737935756552	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:31.7316461Z
59	B6-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	52295.4809682564	0.0200321813971017	0.000967818602898341	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:28.7228568Z
60	B6-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1830.37499999999	0.0183743148287651	0.00237431482876507	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:28.7228568Z
61	B7-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	51900.152471323	0.0199212069954894	0.00107879300451062	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:25.7240588Z
62	B7-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	5021.9224999999	0.016094539774613	9.45397746130415E-05	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:25.7240588Z
63	B8-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	46665.3366145224	0.0202857002331458	0.000714299766854179	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:22.7257282Z
64	B8-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	2822.89499999998	0.0192417246936117	0.0032417246936117	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:22.7257282Z
65	B9-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	41942.0052085147	0.0198565040708541	0.00114349592914588	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:19.7272547Z
66	B9-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	3035.25000000002	0.0192576415082129	0.00325764150821291	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:19.7272547Z
67	B10-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	36362.1572132302	0.0214558457102873	0.000455845710287305	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:16.7277540Z
68	B10-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	35753.8175	0.0159865794068741	1.34205931259027E-05	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:16.7277540Z
69	B11-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50696.5941285616	0.0214404844225968	0.000440484422596824	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:13.7240704Z
70	B11-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	30716.0100000009	0.020936660352154	0.00493666035215395	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:13.7240704Z
71	B12-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	40961.3404979203	0.0209523672438503	4.7632756149666E-05	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:10.7299734Z
72	B12-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	19843.11	0.0184800185770037	0.00248001857700375	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:10.7299734Z
73	B13-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	39857.5172748962	0.0176754095383816	0.00332459046161837	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:07.7764253Z
74	B13-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	39362.0400000001	0.0167860857490824	0.000786085749082368	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:07.7764253Z
75	B14-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	46198.5307971632	0.0193452056086076	0.00165479439139241	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:04.7275826Z
76	B14-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	45275.3099999998	0.0157435559689901	0.000256444031009904	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:04.7275826Z
77	B15-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	49316.7092125158	0.0204785923748591	0.000521407625140857	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:01.7339549Z
78	B15-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	44607.69	0.0176412857536383	0.00164128575363826	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:01.7339549Z
79	B16-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	46588.6870003556	0.0204354310632967	0.000564568936703331	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:58.7355539Z
80	B16-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	44553.015	0.0162290066498903	0.000229006649890298	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:58.7355539Z
81	B17-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	52015.801432588	0.0194866990896988	0.00151330091030118	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:55.7323306Z
82	B17-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	841.500000000006	0.0161596652757266	0.000159665275726639	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:55.7323306Z
83	B18-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	46473.2691077779	0.0210787489857505	7.87489857505055E-05	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:52.7341565Z
84	B18-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	31894.1999999998	0.0178561622454817	0.00185616224548166	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:52.7341565Z
85	B19-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50077.4470695553	0.0195521676997312	0.00144783230026884	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:49.7307818Z
86	B19-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1151.99999999999	0.0184729645512426	0.00247296455124256	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:49.7307818Z
87	B20-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	52453.2877898189	0.019707650353552	0.00129234964644801	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:46.7371607Z
