Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
43	A22-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	45489.9939999998	0.0186030560207894	0.000396943979210574	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:25.7365218Z
44	A22-1	Unknown	CK	Internal Standards	Group 1	1	0.014	67655.3534959249	0.0208270258265926	0.00682702582659262	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:25.7365218Z
45	A23-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	44572.9050000001	0.0188252015324484	0.000174798467551592	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:28.7356466Z
46	A23-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1568.33914744984	0.0184951111709251	0.00449511117092514	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:28.7356466Z
47	A24-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	41914.0799999998	0.0188968758814941	0.000103124118505854	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:31.7393247Z
48	A24-1	Unknown	CK	Internal Standards	Group 1	1	0.014	18969.4595933312	0.019321425560314	0.00532142556031404	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:31.7393247Z
49	B1-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	55613.0505000007	0.0181535004191094	0.000846499580890552	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:43.7257538Z
50	B1-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1608.45272359755	0.0217777571548458	0.00777775715484582	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:43.7257538Z
51	B2-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	41910.0299999995	0.0185424186472642	0.000457581352735808	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:40.7226066Z
52	B2-1	Unknown	CK	Internal Standards	Group 1	1	0.014	2086.43003890829	0.0211154356762671	0.00711543567626707	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:40.7226066Z
53	B3-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	39099.5550000001	0.0193375408778998	0.000337540877899795	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:37.7286850Z
54	B3-1	Unknown	CK	Internal Standards	Group 1	1	0.014	3237.2371870402	0.0223825019618306	0.0083825019618306	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:37.7286850Z
55	B4-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	40573.0589999989	0.0190264333699753	2.64333699753275E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:34.7246590Z
56	B4-1	Unknown	CK	Internal Standards	Group 1	1	0.014	47517.7373454478	0.0193190525479708	0.00531905254797082	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:34.7246590Z
57	B5-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	36250.38	0.0198573358774904	0.000857335877490366	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:31.7316461Z
58	B5-1	Unknown	CK	Internal Standards	Group 1	1	0.014	44759.0371974268	0.0197056837935094	0.00570568379350943	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:31.7316461Z
59	B6-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	43286.4450000006	0.0190655385655688	6.55385655688318E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:28.7228568Z
60	B6-1	Unknown	CK	Internal Standards	Group 1	1	0.014	2342.83452114779	0.0189121844758483	0.00491218447584828	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:28.7228568Z
61	B7-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	42571.7099999997	0.0183107657590123	0.000689234240987699	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:25.7240588Z
62	B7-1	Unknown	CK	Internal Standards	Group 1	1	0.014	7771.61643233561	0.0194757508755564	0.00547575087555643	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:25.7240588Z
63	B8-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	36110.7450000002	0.0193100604535227	0.000310060453522654	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:22.7257282Z
64	B8-1	Unknown	CK	Internal Standards	Group 1	1	0.014	4844.52810618125	0.0214788564556316	0.00747885645563163	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:22.7257282Z
65	B9-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	36287.2799999992	0.0187664984685956	0.000233501531404359	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:19.7272547Z
66	B9-1	Unknown	CK	Internal Standards	Group 1	1	0.014	4259.12464211734	0.02029181230778	0.00629181230778003	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:19.7272547Z
67	B10-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	27898.4249999998	0.0208010808832119	0.00180108088321194	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:16.7277540Z
68	B10-1	Unknown	CK	Internal Standards	Group 1	1	0.014	56185.1224240327	0.0198345997934383	0.00583459979343827	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:16.7277540Z
69	B11-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	35067.6000000002	0.0192429140011186	0.000242914001118592	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:13.7240704Z
70	B11-1	Unknown	CK	Internal Standards	Group 1	1	0.014	60819.6056371864	0.0232297259172991	0.00922972591729909	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:13.7240704Z
71	B12-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	32127.9299999999	0.0203710586464429	0.00137105864644289	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:10.7299734Z
72	B12-1	Unknown	CK	Internal Standards	Group 1	1	0.014	31812.9969021412	0.0203062713387719	0.00630627133877193	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:10.7299734Z
73	B13-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	34849.4400000004	0.0168104562737181	0.00218954372628192	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:07.7764253Z
74	B13-1	Unknown	CK	Internal Standards	Group 1	1	0.014	51853.7168456423	0.0182298947789057	0.00422989477890573	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:07.7764253Z
75	B14-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	40315.6799999996	0.0189383291137515	6.16708862485431E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:04.7275826Z
76	B14-1	Unknown	CK	Internal Standards	Group 1	1	0.014	61096.2662333792	0.0179003774561361	0.00390037745613608	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:04.7275826Z
77	B15-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	39764.7450000002	0.0195666032749864	0.000566603274986414	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:01.7339549Z
78	B15-1	Unknown	CK	Internal Standards	Group 1	1	0.014	68919.0612546792	0.0200269404772424	0.00602694047724241	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:01.7339549Z
79	B16-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	39218.0849999997	0.0195772978149592	0.000577297814959174	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:58.7355539Z
80	B16-1	Unknown	CK	Internal Standards	Group 1	1	0.014	60327.248702752	0.0177369306129703	0.0037369306129703	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:58.7355539Z
81	B17-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	45378.8999999997	0.018575800528742	0.000424199471257967	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:55.7323306Z
82	B17-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1220.67184222612	0.0194779384760099	0.00547793847600991	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:55.7323306Z
